Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Order_Arrival.EntityArrivals' is '0' Hours.
0,Order_Arrival,Order_Arrival,0.OnRunInitialized,[Begin],Process 'Order_Arrival.OnRunInitialized' execution started.
0,Order_Arrival,Order_Arrival,0.OnRunInitialized,[Execute] RunInitializedAddOnProcess,Executing process 'Order_Arrival_RunInitialized'.
0,Order_Arrival,Mayawest_Pizza_Shop,1.Order_Arrival_RunInitialized,[Begin],Process 'Order_Arrival_RunInitialized' execution started.
0,Order_Arrival,Mayawest_Pizza_Shop,1.Order_Arrival_RunInitialized,[Assign] Assign1,Assigning state variable 'Mayawest_Pizza_Shop.Lebron' the value '0.1'. Previous value was '0.1'.
0,Order_Arrival,Mayawest_Pizza_Shop,1.Order_Arrival_RunInitialized,[Delay] Delay1,Delaying token for '1.18395758311575' Hours until time '1.18395758311575' Hours. Delay multiplier was '1'.
0,Order_Arrival,Order_Arrival,0.OnRunInitialized,[Execute] RunInitializedAddOnProcess,Token waiting at Execute step for '1' other processes to complete.
0,--,--,--,--,Firing event 'Order_Arrival.EntityArrivals.Event'.
0,--,--,--,--,Time until next event of timer 'Order_Arrival.EntityArrivals' is '0.0486165327470508' Hours.
0,Order_Arrival,Order_Arrival,2.OnEntityArrival,[Begin],Process 'Order_Arrival.OnEntityArrival' execution started.
0,Order_Arrival,Order_Arrival,2.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'Order'.
0,Order_Arrival,Order_Arrival,2.OnEntityArrival,[Create] Entities,Created object 'Order.35'.
0,Order.35,Order_Arrival,3.OnEntityArrival,[Transfer] ToProcessing,Entity 'Order.35' transferring from '[FreeSpace] Order_Arrival' into station 'Order_Arrival.Processing'.
0,Order_Arrival,Order_Arrival,2.OnEntityArrival,[End],Process 'Order_Arrival.OnEntityArrival' execution ended.
0,Order.35,Order_Arrival,4.OnEnteredProcessing,[Begin],Process 'Order_Arrival.OnEnteredProcessing' execution started.
0,Order.35,Order_Arrival,4.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'Order.35' ending transfer into station 'Order_Arrival.Processing'.
0,Order.35,Order_Arrival,4.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'Order.35' transferring from '[Station] Order_Arrival.Processing' into station 'Order_Arrival.OutputBuffer'.
0,Order.35,Order_Arrival,3.OnEntityArrival,[End],Process 'Order_Arrival.OnEntityArrival' execution ended.
0,Order.35,Order_Arrival,2.OnEnteredOutputBuffer,[Begin],Process 'Order_Arrival.OnEnteredOutputBuffer' execution started.
0,Order.35,Order_Arrival,2.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'Order.35' ending transfer into station 'Order_Arrival.OutputBuffer'.
0,Order.35,Order_Arrival,2.OnEnteredOutputBuffer,[Assign] BeforeExitingAssignments,Assigning state variable 'Order.35.NumPizzas' the value '1'. Previous value was '0'.
0,Order.35,Order_Arrival,2.OnEnteredOutputBuffer,[Assign] BeforeExitingAssignments,Assigning state variable 'Order.35.OrderId' the value '1'. Previous value was '0'.
0,Order.35,Order_Arrival,2.OnEnteredOutputBuffer,[Assign] BeforeExitingAssignments,Assigning state variable 'Order.35.isDelivery' the value '1'. Previous value was '0'.
