Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Order_Arrival.EntityArrivals' is '0' Hours.
0,--,--,--,--,Firing event 'Order_Arrival.EntityArrivals.Event'.
0,--,--,--,--,Time until next event of timer 'Order_Arrival.EntityArrivals' is '0.00655278052637456' Hours.
0,Order_Arrival,Order_Arrival,0.OnEntityArrival,[Begin],Process 'Order_Arrival.OnEntityArrival' execution started.
0,Order_Arrival,Order_Arrival,0.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'Order'.
0,Order_Arrival,Order_Arrival,0.OnEntityArrival,[Create] Entities,Created object 'Order.28'.
0,Order.28,Order_Arrival,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'Order.28' transferring from '[FreeSpace] Order_Arrival' into station 'Order_Arrival.Processing'.
0,Order_Arrival,Order_Arrival,0.OnEntityArrival,[End],Process 'Order_Arrival.OnEntityArrival' execution ended.
0,Order.28,Order_Arrival,2.OnEnteredProcessing,[Begin],Process 'Order_Arrival.OnEnteredProcessing' execution started.
0,Order.28,Order_Arrival,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'Order.28' ending transfer into station 'Order_Arrival.Processing'.
0,Order.28,Order_Arrival,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'Order.28' transferring from '[Station] Order_Arrival.Processing' into station 'Order_Arrival.OutputBuffer'.
0,Order.28,Order_Arrival,1.OnEntityArrival,[End],Process 'Order_Arrival.OnEntityArrival' execution ended.
0,Order.28,Order_Arrival,0.OnEnteredOutputBuffer,[Begin],Process 'Order_Arrival.OnEnteredOutputBuffer' execution started.
0,Order.28,Order_Arrival,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'Order.28' ending transfer into station 'Order_Arrival.OutputBuffer'.
0,Order.28,Order_Arrival,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'Order.28' transferring from '[Station] Order_Arrival.OutputBuffer' into node 'Output@Order_Arrival'.
0,Order.28,Output@Order_Arrival,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Order_Arrival.OnEnteredFromAssociatedObject' execution started.
0,Order.28,Output@Order_Arrival,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Order_Arrival.Entered'.
0,Order.28,Output@Order_Arrival,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'Order.28' transferring from '[Node] Output@Order_Arrival' into node 'Input@Order_Separator'.
0,Order.28,Input@Order_Separator,3.OnEnteredToAssociatedObject,[Begin],Process 'Input@Order_Separator.OnEnteredToAssociatedObject' execution started.
0,Order.28,Input@Order_Separator,3.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@Order_Separator.Entered'.
0,Order.28,Input@Order_Separator,3.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'Order.28' transferring from '[Node] Input@Order_Separator' into object 'Order_Separator'.
0,Order.28,Input@Order_Separator,3.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'Order.28' transferring from '[Node] Input@Order_Separator' into station 'Order_Separator.InputBuffer'.
0,Order.28,Order_Arrival,2.OnEnteredProcessing,[End],Process 'Order_Arrival.OnEnteredProcessing' execution ended.
